,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
17606,0.434,2010,0.0151,['Bruno Mars'],0.637,220733,0.843,0,7BqBn9nzAq8spo5e7cZ0dJ,0.0,5,0.0876,-5.412999999999999,1,Just the Way You Are,81,2010-10-05,0.0432,109.012
17607,0.795,2010,0.185,['Train'],0.6729999999999999,216773,0.8859999999999999,0,4HlFJV71xXKIGcU3kRyttv,0.0,1,0.0826,-4.44,0,"Hey, Soul Sister",83,2010-12-01,0.0431,97.012
17608,0.361,2010,0.0054399999999999995,"['Waka Flocka Flame', 'Roscoe Dash', 'Wale']",0.76,263773,0.595,1,03tqyYWC9Um2ZqU0ZN849H,0.0,1,0.24100000000000002,-6.3660000000000005,1,No Hands (feat. Roscoe Dash & Wale),76,2010-10-01,0.0391,131.497
17609,0.504,2010,0.0275,['Miguel'],0.684,195373,0.603,0,0JXXNGljqupsJaZsgSbMZV,0.00031099999999999997,11,0.191,-8.127,0,Sure Thing,78,2010-11-26,0.0989,81.0
17610,0.065,2010,0.512,['Bruno Mars'],0.523,217867,0.606,0,161DnLWsx1i3u1JT05lzqU,0.0,1,0.106,-4.754,0,Talking to the Moon,77,2010-10-05,0.0301,145.83700000000005
17611,0.635,2010,0.34700000000000003,['Jason Aldean'],0.68,229400,0.741,0,2qYsSHsYkihWx043HVJQRV,1.87e-06,2,0.11699999999999999,-5.055,1,Dirt Road Anthem,73,2010-11-02,0.0357,127.024
17612,0.39,2010,0.0455,['Roar'],0.247,198213,0.43799999999999994,1,0I1eFRytp4XRhLCjT6tZm7,0.0008710000000000001,5,0.111,-8.479,1,I Can't Handle Change,76,2010-03-14,0.0358,185.71599999999998
17613,0.6409999999999999,2010,0.24100000000000002,"['Eminem', 'Rihanna']",0.7490000000000001,263373,0.925,1,15JINEqzVMv3SvJTAXAKED,0.0,10,0.52,-5.034,1,Love The Way You Lie,82,2010-06-18,0.22699999999999998,86.98899999999998
17614,0.7140000000000001,2010,0.0991,['Kesha'],0.755,199693,0.8370000000000001,0,0HPD5WQqrq7wPWR7P7Dw1i,0.0,2,0.289,-2.718,0,TiK ToK,80,2010-01-01,0.142,120.02799999999999
17615,0.5760000000000001,2010,0.0161,['Kanye West'],0.542,292093,0.914,1,2gZUPNdnz5Y45eiGxpHGSc,0.0,0,0.7440000000000001,-4.747,0,POWER,78,2010-11-22,0.113,153.993
17616,0.22699999999999998,2010,0.146,['Bruno Mars'],0.706,223253,0.5579999999999999,0,2tJulUYLDKOg9XrtVkMgcJ,0.0,2,0.11800000000000001,-7.237,0,Grenade,75,2010-10-05,0.0593,110.443
17617,0.55,2010,0.0135,['Mac Miller'],0.794,195873,0.7659999999999999,1,51pshtuYkgUQnt5huMPbKL,0.0,9,0.0785,-3.8939999999999997,0,The Spins,73,2010-08-13,0.0377,127.007
17618,0.609,2010,0.4320000000000001,"['Zac Brown Band', 'Jimmy Buffett']",0.715,203173,0.584,0,0b2IVjeD268pYd7VUhmtKI,1.41e-06,8,0.095,-8.231,1,Knee Deep (feat. Jimmy Buffett),72,2010-09-20,0.0296,90.99
17619,0.818,2010,0.0033200000000000005,['Taio Cruz'],0.754,203867,0.804,0,1DqdF42leyFIzqNDv9CjId,0.0,4,0.0329,-3.177,1,Dynamite,72,2010-01-01,0.0853,119.96799999999999
17620,0.74,2010,0.000346,['Neon Trees'],0.48200000000000004,212293,0.833,0,1fBl642IhJOE5U319Gy2Go,0.0,5,0.365,-5.6110000000000015,1,Animal,71,2010-01-01,0.0449,148.039
17621,0.32899999999999996,2010,0.0205,"['Trey Songz', 'Nicki Minaj']",0.845,242013,0.601,1,2IpGdrWvIZipmaxo1YRxw5,0.0,1,0.385,-5.2829999999999995,1,Bottoms Up (feat. Nicki Minaj),72,2010-09-13,0.161,74.008
17622,0.221,2010,0.0796,['Kanye West'],0.531,299613,0.8029999999999999,1,22L7bfCiAkJo5xGSQgmiIO,1.7100000000000002e-05,1,0.17600000000000002,-3.284,1,All Of The Lights,75,2010-11-22,0.0717,142.113
17623,0.414,2010,0.28,"['John Lennon', 'Yoko Ono']",0.321,214333,0.64,0,27RYrbL6S02LNVhDWVl38b,0.0,2,0.718,-10.023,1,Happy Xmas (War Is Over) - Remastered 2010,78,2010-10-05,0.0324,146.172
17624,0.377,2010,0.11,"['B.o.B', 'Hayley Williams']",0.66,180480,0.867,1,6lV2MSQmRIkycDScNtrBXO,0.0,6,0.0368,-4.285,0,Airplanes (feat. Hayley Williams),75,2010-04-27,0.11599999999999999,93.03299999999999
17625,0.625,2010,0.0048,['P!nk'],0.7,202960,0.7090000000000001,1,1gv4xPanImH17bKZ9rOveR,0.0,7,0.0289,-5.006,1,Raise Your Glass,77,2010-10-05,0.0839,122.01899999999999
17626,0.6679999999999999,2010,0.529,['Eminem'],0.855,248133,0.9540000000000001,1,7Ie9W94M7OjPoZVV216Xus,0.0,0,0.205,-1.19,0,Not Afraid,79,2010-06-18,0.264,114.635
17627,0.654,2010,0.0338,"['Usher', 'Pitbull']",0.6629999999999999,220800,0.861,0,4356Typ82hUiFAynbLYbPn,0.0,7,0.08199999999999999,-3.398,0,DJ Got Us Fallin' In Love (feat. Pitbull),78,2010-03-30,0.109,119.963
17628,0.48100000000000004,2010,0.332,['Bruno Mars'],0.62,230120,0.8320000000000001,0,22PMfvdz35fFKYnJyMn077,0.0,10,0.10400000000000001,-4.848,1,Marry You,73,2010-10-05,0.036000000000000004,144.92600000000004
17629,0.535,2010,0.0401,"['Justin Bieber', 'Ludacris']",0.728,214240,0.8590000000000001,0,6epn3r7S14KUqlReYr77hA,0.0,5,0.111,-5.237,0,Baby,78,2010-01-01,0.13699999999999998,65.043
17630,0.623,2010,0.0504,['Cody Jinks'],0.698,300680,0.586,0,72Fnsr9pkCyXCmY3BS7sbx,0.0,5,0.295,-5.066,1,Hippies and Cowboys,69,2010-06-28,0.0278,115.081
17631,0.7759999999999999,2010,0.000715,['Two Door Cinema Club'],0.561,191707,0.741,0,3UjtIALeg72qmJiKPWBvM3,1.4000000000000001e-05,6,0.0822,-4.239,0,What You Know,69,2010-02-17,0.0419,139.001
17632,0.778,2010,0.0067599999999999995,"['Far East Movement', 'The Cataracs', 'DEV']",0.435,216893,0.8370000000000001,0,4DvhkX2ic4zWkQeWMwQ2qf,0.0,3,0.11699999999999999,-8.126,1,Like A G6,69,2010-01-01,0.449,124.913
17633,0.878,2010,0.0846,"['Don Omar', 'Lucenzo']",0.4,198773,0.915,0,2a1o6ZejUi8U3wzzOtCOYw,0.0,0,0.0503,-4.89,1,Danza Kuduro,75,2010-01-01,0.28,88.917
17634,0.111,2010,0.21899999999999997,"['Kanye West', 'Pusha T']",0.374,547733,0.568,1,3DK6m7It6Pw857FcQftMds,0.0021899999999999997,1,0.513,-3.825,0,Runaway,73,2010-11-22,0.109,84.73299999999998
17635,0.35700000000000004,2010,0.18100000000000002,"['Far East Movement', 'Ryan Tedder', 'Ruff Loaderz']",0.664,211253,0.845,0,45sDIKapDyxPl307QpEAwl,0.0,4,0.267,-6.115,0,Rocketeer,69,2010-01-01,0.0461,96.005
17636,0.126,2010,0.856,['Miguel'],0.34700000000000003,102813,0.239,0,1eUGmzzvahJjOSWgDHuRlv,0.000177,6,0.168,-11.314,0,Girl With The Tattoo Enter.lewd,71,2010-11-26,0.0297,113.361
17637,0.852,2010,0.0869,['Gorillaz'],0.6759999999999999,200173,0.703,0,1foMv2HQwfQ2vntFf9HFeG,0.000687,8,0.0463,-5.815,0,Rhinestone Eyes,74,2010-03-03,0.0302,92.76100000000001
17638,0.711,2010,0.0444,['Jason Derulo'],0.615,221253,0.711,0,67T6l4q3zVjC5nZZPXByU8,0.0,11,0.145,-5.5070000000000014,1,Whatcha Say,68,2010-02-24,0.0779,144.036
17639,0.509,2010,0.84,['Bruno Mars'],0.5770000000000001,197373,0.397,0,7l1qvxWjxcKpB9PCtBuTbU,0.0,0,0.0772,-5.98,1,Count on Me,74,2010-10-05,0.027999999999999997,89.044
17640,0.743,2010,0.386,"['B.o.B', 'Bruno Mars']",0.688,268320,0.853,0,59dLtGBS26x7kc0rHbaPrq,0.0,10,0.0862,-5.814,1,Nothin' on You (feat. Bruno Mars),73,2010-04-27,0.0493,103.993
17641,0.625,2010,0.179,"['Mike Posner', 'Gigamesh']",0.768,213293,0.82,0,2V4bv1fNWfTcyRJKmej6Sj,0.0,7,0.7040000000000001,-4.63,0,Cooler Than Me - Single Mix,72,2010-08-09,0.0475,129.969
17642,0.578,2010,1.51e-05,['Gorillaz'],0.6890000000000001,233867,0.7390000000000001,0,0q6LuUqGLUiCPP1cbdwFs3,0.509,2,0.064,-5.81,1,On Melancholy Hill,77,2010-03-03,0.026000000000000002,120.42299999999999
17643,0.36200000000000004,2010,0.348,['The Band Perry'],0.606,222773,0.4970000000000001,0,4u26EevCNXMhlvE1xFBJwX,0.0,4,0.275,-6.6110000000000015,1,If I Die Young,68,2010-01-01,0.0277,130.739
17644,0.46299999999999997,2010,0.0435,"['Lil Wayne', 'Drake']",0.376,271947,0.841,1,1kMuU3TNQvHbqvXCWBodmP,0.0,3,0.578,-4.348,0,Right Above It,69,2010-01-01,0.35600000000000004,76.05199999999998
17645,0.62,2010,0.0111,"['Maroon 5', 'Christina Aguilera']",0.722,201160,0.758,0,7LcfRTgAVTs5pQGEQgUEzN,0.0,11,0.308,-4.477,0,Moves Like Jagger - Studio Recording From The Voice Performance,69,2010,0.0471,128.047
17646,0.19899999999999998,2010,0.455,['Zac Brown Band'],0.667,273893,0.381,0,23hDnIFoFlVTDA6y8YrJoR,0.0,3,0.11599999999999999,-7.494,1,Colder Weather,68,2010-09-20,0.0294,135.975
